gene	chr	ideogram	complement	start	stop	name
AIM1	6	6q21	0	106959730	107018335	absent in melanoma 1
AMPD3	11	11p15.4	0	10471868	10529126	adenosine monophosphate deaminase 3
ANO1	11	11q13.3	0	69924408	70035651	anoctamin 1, calcium activated chloride channel
APC	5	5q22.2	0	112043202	112181936	adenomatous polyposis coli
APS	NA	NA	NA	NA	NA	NA
ASB4	7	7q21.3	0	95115213	95169543	ankyrin repeat and SOCS box containing 4
ASCL2	11	11p15.5	1	2289728	2292182	achaete-scute complex homolog 2 (Drosophila)
ATXN7	3	3p14.1	0	63850233	63989138	ataxin 7
AWT1	NA	NA	NA	NA	NA	NA
BDNF	11	11p14.1	1	27676440	27743605	brain-derived neurotrophic factor
BEGAIN	14	14q32.2	1	101003484	101036131	brain-enriched guanylate kinase-associated homolog (rat)
BLCAP	20	20q11.23	1	36145819	36156333	bladder cancer associated protein
BRD2	6	6p21.32	0	32936437	32949282	bromodomain containing 2
C19MC	NA	NA	NA	NA	NA	NA
CALCR	7	7q21.3	1	93053799	93204042	calcitonin receptor
CASD1	7	7q21.3	0	94139170	94186331	CAS1 domain containing 1
CD44	11	11p13	0	35160417	35253949	CD44 molecule (Indian blood group)
CD81	11	11p15.5	0	2398547	2418649	CD81 molecule
CDKN1C	11	11p15.4	1	2904448	2906995	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
CNTNAP2	7	7q35	0	145813453	148118090	contactin associated protein-like 2
COMMD1	2	2p15	0	62132803	62363205	copper metabolism (Murr1) domain containing 1
COPG2	7	7q32.2	1	130146079	130353598	coatomer protein complex, subunit gamma 2
COPG2IT1	NA	NA	NA	NA	NA	NA
CPA4	7	7q32.2	0	129932974	129964020	carboxypeptidase A4
CTNNA3	10	10q21.3	1	67679725	69455949	catenin (cadherin-associated protein), alpha 3
DCN	12	12q21.33	1	91539035	91576806	decorin
DDC	7	7p12.1	1	50526134	50633154	dopa decarboxylase (aromatic L-amino acid decarboxylase)
DHCR7	11	11q13.4	1	71145457	71159477	7-dehydrocholesterol reductase
DIO3	14	14q32.31	0	102027688	102029789	deiodinase, iodothyronine, type III
DIRAS3	1	1p31.3	1	68511645	68516460	DIRAS family, GTP-binding RAS-like 3
